Area,Harvest Date,Harvest Area,yield (kg / ha),Season,Intensity,Latitude,Longitude
ES130,15-07-2012,325.0,4163,SA,D,43.42863,-3.89545
ES211,15-07-2012,2.0,3500,SA,D,42.9655,-2.75258
ES212,15-07-2012,173.0,3140,SA,D,43.20135,-2.13431
ES213,15-07-2012,138.0,3104,SA,D,43.30779,-2.99522
ES220,15-07-2012,18715.0,10818,SA,D,42.4273,-1.73358
ES230,15-07-2012,668.0,9502,SA,D,42.27149,-1.97541
ES241,15-07-2012,38268.0,11996,SA,D,41.86705,-0.05219
ES242,15-07-2012,3457.0,10208,SA,D,40.73827,-1.00363
ES243,15-07-2012,19569.0,10715,SA,D,41.86077,-1.07946
ES300,15-07-2012,7331.0,14491,SA,D,40.19028,-3.57747
ES411,15-07-2012,945.0,12000,SA,D,40.97913,-4.85813
ES412,15-07-2012,725.0,9414,SA,D,41.84807,-3.87632
ES413,15-07-2012,60381.0,9500,SA,D,42.4113,-5.68645
ES414,15-07-2012,1679.0,9011,SA,D,42.41262,-4.67343
ES415,15-07-2012,16045.0,12815,SA,D,40.99443,-5.5754
ES416,15-07-2012,170.0,8000,SA,D,41.2211,-4.41308
ES417,15-07-2012,349.0,10914,SA,D,41.58075,-2.86887
ES418,15-07-2012,8441.0,11000,SA,D,41.65781,-5.10557
ES419,15-07-2012,16326.0,11001,SA,D,41.82753,-5.74309
ES421,15-07-2012,16851.0,12600,SA,D,39.0489,-1.99314
ES422,15-07-2012,6855.0,10415,SA,D,39.26904,-4.16304
ES423,15-07-2012,1243.0,11148,SA,D,39.6437,-2.38957
ES425,15-07-2012,10564.0,9895,SA,D,39.97782,-4.49185
ES431,15-07-2012,41259.0,11627,SA,D,39.02606,-6.19655
ES432,15-07-2012,19384.0,11808,SA,D,39.80093,-6.27123
ES511,15-07-2012,299.0,6687,SA,D,41.90971,2.24778
ES512,15-07-2012,7629.0,10927,SA,D,42.16169,2.87706
ES513,15-07-2012,28271.0,10269,SA,D,41.74448,0.71416
ES514,15-07-2012,46.0,8816,SA,D,40.86232,0.57098
ES521,15-07-2012,319.0,7975,SA,D,38.2,-0.88411
ES522,15-07-2012,96.0,3854,SA,D,40.36508,0.07989
ES523,15-07-2012,156.0,8000,SA,D,39.3862,-0.58762
ES611,15-07-2012,20.0,2350,SA,D,37.45555,-2.25556
ES612,15-07-2012,3527.0,8559,SA,D,36.59786,-5.94015
ES613,15-07-2012,8291.0,12465,SA,D,37.81599,-4.99439
ES614,15-07-2012,3105.0,10584,SA,D,37.24434,-3.75542
ES615,15-07-2012,218.0,11636,SA,D,37.75169,-7.11385
ES616,15-07-2012,1584.0,9928,SA,D,38.03548,-3.86859
ES617,15-07-2012,565.0,6217,SA,D,37.10579,-4.67189
ES618,15-07-2012,21680.0,12473,SA,D,37.50512,-5.81387
ES620,15-07-2012,128.0,9500,SA,D,38.1893,-1.43707
ES704,15-07-2012,72.398,2646,SA,D,,
ES705,15-07-2012,92.667,2646,SA,D,28.11818,-15.55454
ES706,15-07-2012,4.014,1927,SA,D,,
ES707,15-07-2012,23.99,1927,SA,D,28.7,-18.0
ES708,15-07-2012,52.936,2646,SA,D,,
ES709,15-07-2012,399.598,1927,SA,D,28.47143,-16.54286
ES111,15-07-2011,8944.0,7347,SA,D,43.08895,-8.59496
ES112,15-07-2011,1896.0,6748,SA,D,43.11323,-7.572
ES113,15-07-2011,1811.0,7380,SA,D,42.19387,-7.78684
ES114,15-07-2011,5434.0,6543,SA,D,42.72535,-8.29535
ES120,15-07-2011,320.0,2187,SA,D,43.55671,-6.47065
ES130,15-07-2011,325.0,4163,SA,D,43.42863,-3.89545
ES211,15-07-2011,2.0,4000,SA,D,42.9655,-2.75258
ES212,15-07-2011,172.0,3393,SA,D,43.20135,-2.13431
ES213,15-07-2011,135.0,3326,SA,D,43.30779,-2.99522
ES220,15-07-2011,14468.0,11333,SA,D,42.4273,-1.73358
ES230,15-07-2011,570.0,9901,SA,D,42.27149,-1.97541
ES241,15-07-2011,45578.0,12450,SA,D,41.86705,-0.05219
ES242,15-07-2011,3701.0,10137,SA,D,40.73827,-1.00363
ES243,15-07-2011,22069.0,10856,SA,D,41.86077,-1.07946
ES300,15-07-2011,5545.0,13475,SA,D,40.19028,-3.57747
ES411,15-07-2011,715.0,10635,SA,D,40.97913,-4.85813
ES412,15-07-2011,659.0,11020,SA,D,41.84807,-3.87632
ES413,15-07-2011,56285.0,10400,SA,D,42.4113,-5.68645
ES414,15-07-2011,3539.0,8999,SA,D,42.41262,-4.67343
ES415,15-07-2011,13691.0,12987,SA,D,40.99443,-5.5754
ES416,15-07-2011,150.0,8000,SA,D,41.2211,-4.41308
ES417,15-07-2011,343.0,11408,SA,D,41.58075,-2.86887
ES418,15-07-2011,8863.0,11000,SA,D,41.65781,-5.10557
ES419,15-07-2011,17526.0,11983,SA,D,41.82753,-5.74309
ES421,15-07-2011,14918.0,13000,SA,D,39.0489,-1.99314
ES422,15-07-2011,5324.0,11711,SA,D,39.26904,-4.16304
ES423,15-07-2011,1148.0,11016,SA,D,39.6437,-2.38957
ES424,15-07-2011,3555.0,11990,SA,D,40.92142,-3.0692
ES425,15-07-2011,10437.0,13864,SA,D,39.97782,-4.49185
ES431,15-07-2011,35331.0,12668,SA,D,39.02606,-6.19655
ES432,15-07-2011,16718.0,12791,SA,D,39.80093,-6.27123
ES511,15-07-2011,981.0,6630,SA,D,41.90971,2.24778
ES512,15-07-2011,8086.0,11513,SA,D,42.16169,2.87706
ES513,15-07-2011,27499.0,9836,SA,D,41.74448,0.71416
ES514,15-07-2011,38.0,8230,SA,D,40.86232,0.57098
ES522,15-07-2011,42.0,2833,SA,D,40.36508,0.07989
ES523,15-07-2011,204.0,12000,SA,D,39.3862,-0.58762
ES611,15-07-2011,61.0,1131,SA,D,37.45555,-2.25556
ES612,15-07-2011,3377.0,9659,SA,D,36.59786,-5.94015
ES613,15-07-2011,6625.0,12462,SA,D,37.81599,-4.99439
ES614,15-07-2011,3451.0,11459,SA,D,37.24434,-3.75542
ES615,15-07-2011,225.0,10432,SA,D,37.75169,-7.11385
ES616,15-07-2011,1299.0,12000,SA,D,38.03548,-3.86859
ES617,15-07-2011,433.0,6181,SA,D,37.10579,-4.67189
ES618,15-07-2011,15428.0,12015,SA,D,37.50512,-5.81387
ES620,15-07-2011,126.0,9500,SA,D,38.1893,-1.43707
ES704,15-07-2011,73.726,2685,SA,D,,
ES705,15-07-2011,94.367,2685,SA,D,28.11818,-15.55454
ES706,15-07-2011,3.903,2334,SA,D,,
ES707,15-07-2011,23.329,2334,SA,D,28.7,-18.0
ES708,15-07-2011,53.907,2685,SA,D,,
ES709,15-07-2011,388.575,2334,SA,D,28.47143,-16.54286
ES111,15-07-2010,8233.0,7420,SA,D,43.08895,-8.59496
ES112,15-07-2010,1939.0,9880,SA,D,43.11323,-7.572
ES113,15-07-2010,2162.0,8200,SA,D,42.19387,-7.78684
ES114,15-07-2010,5564.0,5410,SA,D,42.72535,-8.29535
ES120,15-07-2010,310.0,2419,SA,D,43.55671,-6.47065
ES130,15-07-2010,325.0,2600,SA,D,43.42863,-3.89545
ES211,15-07-2010,14.0,3786,SA,D,42.9655,-2.75258
ES212,15-07-2010,172.0,3248,SA,D,43.20135,-2.13431
ES213,15-07-2010,135.0,3148,SA,D,43.30779,-2.99522
ES220,15-07-2010,13310.0,10015,SA,D,42.4273,-1.73358
ES230,15-07-2010,505.0,9511,SA,D,42.27149,-1.97541
ES241,15-07-2010,35918.0,12000,SA,D,41.86705,-0.05219
ES242,15-07-2010,3265.0,9235,SA,D,40.73827,-1.00363
ES243,15-07-2010,17783.0,9822,SA,D,41.86077,-1.07946
ES300,15-07-2010,6132.0,12746,SA,D,40.19028,-3.57747
ES411,15-07-2010,246.0,8002,SA,D,40.97913,-4.85813
ES412,15-07-2010,556.0,11020,SA,D,41.84807,-3.87632
ES413,15-07-2010,54134.0,10200,SA,D,42.4113,-5.68645
ES414,15-07-2010,2969.0,9500,SA,D,42.41262,-4.67343
ES415,15-07-2010,12662.0,12300,SA,D,40.99443,-5.5754
ES416,15-07-2010,150.0,8000,SA,D,41.2211,-4.41308
ES417,15-07-2010,354.0,10644,SA,D,41.58075,-2.86887
ES418,15-07-2010,7900.0,10000,SA,D,41.65781,-5.10557
ES419,15-07-2010,15866.0,10978,SA,D,41.82753,-5.74309
ES421,15-07-2010,10224.0,13000,SA,D,39.0489,-1.99314
ES422,15-07-2010,3993.0,11219,SA,D,39.26904,-4.16304
ES423,15-07-2010,708.0,10801,SA,D,39.6437,-2.38957
ES424,15-07-2010,3320.0,12972,SA,D,40.92142,-3.0692
ES425,15-07-2010,9510.0,13785,SA,D,39.97782,-4.49185
ES431,15-07-2010,25390.0,10254,SA,D,39.02606,-6.19655
ES432,15-07-2010,14158.0,10752,SA,D,39.80093,-6.27123
ES511,15-07-2010,1477.0,3254,SA,D,41.90971,2.24778
ES512,15-07-2010,7386.0,11037,SA,D,42.16169,2.87706
ES513,15-07-2010,24182.0,9443,SA,D,41.74448,0.71416
ES514,15-07-2010,23.0,6487,SA,D,40.86232,0.57098
ES521,15-07-2010,179.0,8300,SA,D,38.2,-0.88411
ES522,15-07-2010,36.0,1500,SA,D,40.36508,0.07989
ES523,15-07-2010,344.0,15147,SA,D,39.3862,-0.58762
ES611,15-07-2010,43.0,1349,SA,D,37.45555,-2.25556
ES612,15-07-2010,3000.0,9740,SA,D,36.59786,-5.94015
ES613,15-07-2010,4288.0,12471,SA,D,37.81599,-4.99439
ES614,15-07-2010,2955.0,11119,SA,D,37.24434,-3.75542
ES615,15-07-2010,100.0,9497,SA,D,37.75169,-7.11385
ES616,15-07-2010,817.0,11000,SA,D,38.03548,-3.86859
ES617,15-07-2010,480.0,6089,SA,D,37.10579,-4.67189
ES618,15-07-2010,10706.0,10568,SA,D,37.50512,-5.81387
ES620,15-07-2010,122.0,9600,SA,D,38.1893,-1.43707
ES704,15-07-2010,77.711,2731,SA,D,,
ES705,15-07-2010,99.468,2731,SA,D,28.11818,-15.55454
ES706,15-07-2010,3.931,2343,SA,D,,
ES707,15-07-2010,23.494,2343,SA,D,28.7,-18.0
ES708,15-07-2010,56.821,2731,SA,D,,
ES709,15-07-2010,391.33,2343,SA,D,28.47143,-16.54286
