date,latitude,longitude,NDVI,NDVI_mean,VCI,Fpar_500m,Fpar_500m_mean,Fpar_500m_min,Fpar_500m_max,NDRE,NDRE_mean,NDRE_min,NDRE_max,LAI,LAI_mean,LAI_min,LAI_max,SAVI,SAVI_mean,SAVI_min,SAVI_max,NDVI_min,NDVI_max,CIredge,CIredge_mean,CIredge_min,CIredge_max,EVI,EVI_mean,EVI_min,EVI_max
2010-07-15,28.11818,-15.55454,3254.840909090909,3254.840909090909,0.17331339625680256,20.19318181818182,20.19318181818182,17.0,23.0,0.09309511063162827,,,,0.5251068252573264,,,,0.11803534228491552,,,,,,0.22419666212840847,,,,0.1086285860823629,,,
2010-07-15,41.2211,-4.41308,4196.193094629156,4196.193094629156,0.002090556654812854,37.80434782608695,37.80434782608695,35.0,39.0,0.09309511063162827,,,,0.5251068252573264,,,,0.11803534228491552,,,,,,0.22419666212840847,,,,0.1086285860823629,,,
2010-07-15,41.58075,-2.86887,4407.542458808619,4407.542458808619,0.6762963602887697,40.98732572877061,40.98732572877061,39.0,43.0,0.09309511063162827,,,,0.5251068252573264,,,,0.11803534228491552,,,,,,0.22419666212840847,,,,0.1086285860823629,,,
2010-07-15,41.65781,-5.10557,2544.9501915708815,2544.9501915708815,0.12764959005457682,21.860791826309068,21.860791826309068,19.0,25.0,0.09309511063162827,,,,0.5251068252573264,,,,0.11803534228491552,,,,,,0.22419666212840847,,,,0.1086285860823629,,,
2010-07-15,41.74448,0.71416,3284.903061224489,3284.903061224489,0.15995620094218152,32.49107142857142,32.49107142857142,28.0,41.0,0.09309511063162827,,,,0.5251068252573264,,,,0.11803534228491552,,,,,,0.22419666212840847,,,,0.1086285860823629,,,
2010-07-15,41.82753,-5.74309,2638.226463104326,2638.226463104326,0.1234019543241492,25.3117048346056,25.3117048346056,19.0,28.0,0.09309511063162827,,,,0.5251068252573264,,,,0.11803534228491552,,,,,,0.22419666212840847,,,,0.1086285860823629,,,
2010-07-15,41.84807,-3.87632,2782.92443324937,2782.92443324937,0.28290700560094584,25.15869017632242,25.15869017632242,20.0,30.0,0.09309511063162827,,,,0.5251068252573264,,,,0.11803534228491552,,,,,,0.22419666212840847,,,,0.1086285860823629,,,
2010-07-15,41.86077,-1.07946,1794.5984555984558,1794.5984555984558,-0.0682290376081492,13.55984555984556,13.55984555984556,12.0,14.0,0.09309511063162827,,,,0.5251068252573264,,,,0.11803534228491552,,,,,,0.22419666212840847,,,,0.1086285860823629,,,
2010-07-15,41.86705,-0.05219,1904.3944020356232,1904.3944020356232,0.026438974744011495,13.506361323155216,13.506361323155216,12.0,16.0,0.09309511063162827,,,,0.5251068252573264,,,,0.11803534228491552,,,,,,0.22419666212840847,,,,0.1086285860823629,,,
2010-07-15,41.90971,2.24778,4034.286989795918,4034.286989795918,0.16692227789853314,37.3104359313078,37.3104359313078,32.0,39.0,0.09309511063162827,,,,0.5251068252573264,,,,0.11803534228491552,,,,,,0.22419666212840847,,,,0.1086285860823629,,,
2010-07-15,42.19387,-7.78684,6733.8828715365225,6733.8828715365225,0.6719842873958666,66.76196473551637,66.76196473551637,56.0,76.0,0.09309511063162827,,,,0.5251068252573264,,,,0.11803534228491552,,,,,,0.22419666212840847,,,,0.1086285860823629,,,
2010-07-15,40.99443,-5.5754,2127.7856242118537,2127.7856242118537,0.05849736816877651,17.455233291298864,17.455233291298864,15.0,23.0,0.09309511063162827,,,,0.5251068252573264,,,,0.11803534228491552,,,,,,0.22419666212840847,,,,0.1086285860823629,,,
2010-07-15,42.27149,-1.97541,2910.675914249685,2910.675914249685,0.028142314244207607,26.640605296343,26.640605296343,24.0,29.0,0.09309511063162827,,,,0.5251068252573264,,,,0.11803534228491552,,,,,,0.22419666212840847,,,,0.1086285860823629,,,
2010-07-15,42.41262,-4.67343,6415.177215189873,6415.177215189873,0.9621788115968846,52.63797468354431,52.63797468354431,46.0,55.0,0.09309511063162827,,,,0.5251068252573264,,,,0.11803534228491552,,,,,,0.22419666212840847,,,,0.1086285860823629,,,
2010-07-15,42.4273,-1.73358,3034.8033205619404,3034.8033205619404,0.19312286994771957,22.450830140485312,22.450830140485312,16.0,25.0,0.09309511063162827,,,,0.5251068252573264,,,,0.11803534228491552,,,,,,0.22419666212840847,,,,0.1086285860823629,,,
2010-07-15,42.72535,-8.29535,6807.669201520912,6807.669201520912,0.6579899699653924,65.3041825095057,65.3041825095057,54.0,76.0,0.09309511063162827,,,,0.5251068252573264,,,,0.11803534228491552,,,,,,0.22419666212840847,,,,0.1086285860823629,,,
2010-07-15,42.9655,-2.75258,7291.122012578617,7291.122012578617,0.714879662789987,79.60125786163522,79.60125786163522,57.0,92.0,0.09309511063162827,,,,0.5251068252573264,,,,0.11803534228491552,,,,,,0.22419666212840847,,,,0.1086285860823629,,,
2010-07-15,43.08895,-8.59496,8004.375000000001,8004.375000000001,0.9845034861232483,71.13647959183675,71.13647959183675,61.0,90.0,0.09309511063162827,,,,0.5251068252573264,,,,0.11803534228491552,,,,,,0.22419666212840847,,,,0.1086285860823629,,,
2010-07-15,43.11323,-7.572,6999.675094816686,6999.675094816686,0.8316024450399838,48.6283185840708,48.6283185840708,38.0,64.0,0.09309511063162827,,,,0.5251068252573264,,,,0.11803534228491552,,,,,,0.22419666212840847,,,,0.1086285860823629,,,
2010-07-15,43.20135,-2.13431,7978.02809706258,7978.02809706258,0.8388289791117269,79.72030651340998,79.72030651340998,70.0,93.0,0.09309511063162827,,,,0.5251068252573264,,,,0.11803534228491552,,,,,,0.22419666212840847,,,,0.1086285860823629,,,
