fp_Harvest Date,fp_Area,fp_Latitude,fp_Longitude,fp_Season,fp_Intensity,fp_Harvest Area,fp_yield (kg / ha),date,ALLSKY_SFC_SW_DWN,RH2M,T2M,T2M_MAX,T2M_MIN,WS2M,latitude,longitude,DEW POINT TEMPERATURE,DTR,VPD,ALLSKY_SFC_SW_DWN_mean,ALLSKY_SFC_SW_DWN_min,ALLSKY_SFC_SW_DWN_max,ALLSKY_SFC_SW_DWN_std,RH2M_mean,RH2M_min,RH2M_max,RH2M_std,T2M_mean,T2M_min,T2M_max,T2M_std,T2M_MAX_mean,T2M_MAX_min,T2M_MAX_max,T2M_MAX_std,T2M_MIN_mean,T2M_MIN_min,T2M_MIN_max,T2M_MIN_std,WS2M_mean,WS2M_min,WS2M_max,WS2M_std,DEW POINT TEMPERATURE_mean,DEW POINT TEMPERATURE_min,DEW POINT TEMPERATURE_max,DEW POINT TEMPERATURE_std,DTR_mean,DTR_min,DTR_max,DTR_std,VPD_mean,VPD_min,VPD_max,VPD_std,NDVI,NDVI_mean,VCI,Fpar_500m,Fpar_500m_mean,Fpar_500m_min,Fpar_500m_max,NDRE,NDRE_mean,NDRE_min,NDRE_max,LAI,LAI_mean,LAI_min,LAI_max,SAVI,SAVI_mean,SAVI_min,SAVI_max,NDVI_min,NDVI_max,CIredge,CIredge_mean,CIredge_min,CIredge_max,EVI,EVI_mean,EVI_min,EVI_max,RVI_mean,RVI_stdDev,RVI_min,RVI_max,VH_mean,VH_stdDev,VH_min,VH_max,VV_mean,VV_stdDev,VV_min,VV_max,VVVH_ratio_mean,VVVH_ratio_stdDev,VVVH_ratio_min,VVVH_ratio_max,aspect_max,aspect_mean,aspect_stdDev,elevation_max,elevation_mean,elevation_min,elevation_stdDev,slope_max,slope_mean,slope_min,slope_stdDev,potential_evaporation_max,potential_evaporation_mean,potential_evaporation_min,total_precipitation_max,total_precipitation_mean,total_precipitation_min,skin_temperature_max,skin_temperature_mean,skin_temperature_min,soil_temperature_level_1_max,soil_temperature_level_1_mean,soil_temperature_level_1_min,volumetric_soil_water_layer_1_max,volumetric_soil_water_layer_1_mean,volumetric_soil_water_layer_1_min,irrigation_mm,bdod_0-5cm_mean_max,bdod_0-5cm_mean_mean,bdod_0-5cm_mean_min,ocd_0-5cm_mean_max,ocd_0-5cm_mean_mean,ocd_0-5cm_mean_min,ocd_15-30cm_mean_max,ocd_15-30cm_mean_mean,ocd_15-30cm_mean_min,ocd_5-15cm_mean_max,ocd_5-15cm_mean_mean,ocd_5-15cm_mean_min,sand_0-5cm_mean_max,sand_0-5cm_mean_mean,sand_0-5cm_mean_min,silt_0-5cm_mean_max,silt_0-5cm_mean_mean,silt_0-5cm_mean_min,clay_0-5cm_mean_max,clay_0-5cm_mean_mean,clay_0-5cm_mean_min,phh2o_0-5cm_mean_max,phh2o_0-5cm_mean_mean,phh2o_0-5cm_mean_min,nitrogen_0-5cm_mean_max,nitrogen_0-5cm_mean_mean,nitrogen_0-5cm_mean_min
2010-07-15,ES705,28.11818,-15.55454,SA,D,99.468,2731,2010-07-15,18.39,82.72,21.36,22.72,20.33,6.59,28.11818,-15.55454,18.295228274896942,2.390000000000001,0.4393499360466658,19.874516129032255,11.49,27.1,4.498860672049541,84.95612903225805,78.51,89.68,2.5685211980127782,21.52129032258065,20.46,22.58,0.4483355737397387,23.06064516129033,21.53,24.35,0.5716243718357248,20.380000000000003,19.42,21.31,0.4742804397019451,7.056451612903226,3.93,9.13,1.349333284320378,18.874307659249773,16.59086947564714,20.26270669290983,0.8292477115163196,2.680645161290323,1.75,3.4400000000000013,0.4397721953090143,0.3853407547412127,0.2656212615512228,0.5169847867727025,0.059329340034536,3254.840909090909,3254.840909090909,0.1733133962568025,20.19318181818182,20.19318181818182,17.0,23.0,0.0930951106316282,,,,0.5251068252573264,,,,0.1180353422849155,,,,,,0.2241966621284084,,,,0.1086285860823629,,,,,,,,,,,,,,,,,,,,357,170.79771660775094,125.44192416243054,404,323.4897510181062,251,34.18631107885344,39,12.92101152032225,0,7.196000278964782,,,,,,,,,,,,,,,,,130.0,126.59037199124732,122.0,413.0,371.89027595269386,339.0,249.0,230.01511169513805,208.0,321.0,296.8388085851949,265.0,393.0,382.1725799386773,364.0,324.0,311.7838370565047,300.0,313.0,306.1535260621989,290.0,72.0,69.84975908891812,69.0,3166.0,2778.6600963644332,2503.0
2011-07-15,ES705,28.11818,-15.55454,SA,D,94.367,2685,2011-07-15,23.38,85.31,21.55,22.99,20.56,9.03,28.11818,-15.55454,18.97459651797391,2.4299999999999997,0.3778673024237179,19.386451612903222,13.44,24.64,3.072550215749753,81.48935483870967,71.99,87.55,4.238391307334599,21.799677419354833,21.17,22.63,0.3271231776580221,23.114193548387096,22.38,24.51,0.5106338514835826,20.85548387096774,20.26,21.57,0.3014463918497105,7.396774193548388,5.21,9.66,1.1842035218954177,18.466199177800597,16.288283805516766,20.406868757059073,0.996811508609231,2.2587096774193545,1.7199999999999989,3.1799999999999997,0.3523537622579265,0.4827617095855839,0.3309794713044836,0.7209352263614103,0.1079449688666651,2110.598484848485,2110.598484848485,0.0208555063404906,2.460858585858586,2.460858585858586,2.0,3.0,0.0930951106316282,,,,0.5251068252573264,,,,0.1180353422849155,,,,,,0.2241966621284084,,,,0.1086285860823629,,,,,,,,,,,,,,,,,,,,357,170.79771660775094,125.44192416243054,404,323.4897510181062,251,34.18631107885344,39,12.92101152032225,0,7.196000278964782,,,,,,,,,,,,,,,,,130.0,126.59037199124732,122.0,413.0,371.89027595269386,339.0,249.0,230.01511169513805,208.0,321.0,296.8388085851949,265.0,393.0,382.1725799386773,364.0,324.0,311.7838370565047,300.0,313.0,306.1535260621989,290.0,72.0,69.84975908891812,69.0,3166.0,2778.6600963644332,2503.0
2012-07-15,ES705,28.11818,-15.55454,SA,D,92.667,2646,2012-07-15,24.01,85.87,21.12,22.6,20.08,8.83,28.11818,-15.55454,18.65779379632253,2.520000000000003,0.3540124690126082,23.31,15.75,28.36,3.2622899141356165,83.67548387096774,77.17,89.05,3.3227561807687063,21.60322580645162,20.45,22.73,0.5868471642367687,23.01129032258065,21.64,24.19,0.7270388104096175,20.56612903225807,19.59,21.68,0.5270347813664972,7.745161290322581,4.55,10.33,1.56109942847928,18.706936014824,16.61323811720673,20.449315560999644,1.052176886712797,2.4451612903225812,1.84,3.66,0.3996197464182263,0.4199465808024525,0.2872243924466471,0.5629190319003482,0.0791137043576281,2658.103535353536,2658.103535353536,0.1587719490468253,15.680555555555555,15.680555555555555,14.0,18.0,0.0930951106316282,,,,0.5251068252573264,,,,0.1180353422849155,,,,,,0.2241966621284084,,,,0.1086285860823629,,,,,,,,,,,,,,,,,,,,357,170.79771660775094,125.44192416243054,404,323.4897510181062,251,34.18631107885344,39,12.92101152032225,0,7.196000278964782,,,,,,,,,,,,,,,,,130.0,126.59037199124732,122.0,413.0,371.89027595269386,339.0,249.0,230.01511169513805,208.0,321.0,296.8388085851949,265.0,393.0,382.1725799386773,364.0,324.0,311.7838370565047,300.0,313.0,306.1535260621989,290.0,72.0,69.84975908891812,69.0,3166.0,2778.6600963644332,2503.0
2013-07-15,ES705,28.11818,-15.55454,SA,D,113.495,2623,2013-07-15,15.53,88.49,21.77,23.58,20.65,7.34,28.11818,-15.55454,19.77993751920287,2.9299999999999997,0.3000763378038275,21.83225806451613,13.46,29.92,4.522381409260177,83.76064516129034,77.81,88.49,2.7040566126492367,21.78225806451612,20.4,23.43,0.8034430331991523,23.354838709677423,21.33,26.02,0.991772186925821,20.652580645161287,19.2,22.21,0.7675262640958963,6.098709677419355,3.03,8.27,1.4661926598209387,18.90021631087034,17.223752187195785,20.97075559240494,0.8950088721754398,2.702258064516129,1.7800000000000011,4.169999999999998,0.5861999531009949,0.424496513420919,0.2920845603477726,0.6070147323348533,0.076022553661064,2881.4242424242425,2881.4242424242425,-0.0021553576996007,23.0,23.0,23.0,23.0,0.0930951106316282,,,,0.5251068252573264,,,,0.1180353422849155,,,,,,0.2241966621284084,,,,0.1086285860823629,,,,,,,,,,,,,,,,,,,,357,170.79771660775094,125.44192416243054,404,323.4897510181062,251,34.18631107885344,39,12.92101152032225,0,7.196000278964782,,,,,,,,,,,,,,,,,130.0,126.59037199124732,122.0,413.0,371.89027595269386,339.0,249.0,230.01511169513805,208.0,321.0,296.8388085851949,265.0,393.0,382.1725799386773,364.0,324.0,311.7838370565047,300.0,313.0,306.1535260621989,290.0,72.0,69.84975908891812,69.0,3166.0,2778.6600963644332,2503.0
2014-07-15,ES705,28.11818,-15.55454,SA,D,175.556,2576,2014-07-15,24.17,83.06,21.77,23.12,20.75,5.73,28.11818,-15.55454,18.76128072495139,2.370000000000001,0.4416414563333478,23.550000000000004,13.29,28.46,3.1766435928711036,79.72645161290323,72.01,84.79,3.260788098275054,21.572258064516134,20.85,22.37,0.3955454354018279,22.909677419354836,21.65,23.75,0.5247148772365239,20.589999999999996,19.81,21.42,0.3953275489612912,6.391290322580643,3.43,9.8,1.466243261812164,17.90240373784996,16.288770938511107,19.278091036682003,0.7310571513299646,2.3196774193548384,1.4599999999999973,3.360000000000003,0.3847871960763617,0.5225261321424729,0.3991151271438132,0.7431996777358589,0.0868780315898014,2926.771464646465,2926.771464646465,0.2494998153569697,16.083333333333336,16.083333333333336,10.0,24.0,0.0930951106316282,,,,0.5251068252573264,,,,0.1180353422849155,,,,,,0.2241966621284084,,,,0.1086285860823629,,,,,,,,,,,,,,,,,,,,357,170.79771660775094,125.44192416243054,404,323.4897510181062,251,34.18631107885344,39,12.92101152032225,0,7.196000278964782,,,,,,,,,,,,,,,,,130.0,126.59037199124732,122.0,413.0,371.89027595269386,339.0,249.0,230.01511169513805,208.0,321.0,296.8388085851949,265.0,393.0,382.1725799386773,364.0,324.0,311.7838370565047,300.0,313.0,306.1535260621989,290.0,72.0,69.84975908891812,69.0,3166.0,2778.6600963644332,2503.0
2015-07-15,ES705,28.11818,-15.55454,SA,D,178.107,2543,2015-07-15,24.93,86.99,22.44,24.17,21.17,7.36,28.11818,-15.55454,20.16246577706164,3.0,0.3533091850508317,22.703870967741945,14.21,28.12,3.80252350625328,86.32774193548389,80.05,90.97,2.847785455036744,22.11290322580645,20.84,23.16,0.6545828198586567,23.482258064516127,22.04,24.64,0.7573924268445094,21.06935483870968,19.62,22.33,0.6642479884941481,7.711612903225806,5.81,9.79,0.9635086981685272,19.710564419485383,17.516128380477276,21.26563033097784,0.9422507578553057,2.412903225806453,1.870000000000001,3.4200000000000017,0.3938576257284258,0.3634261927707745,0.2438878914185914,0.5324444976811201,0.0726777271287186,3423.9659090909095,3423.9659090909095,0.1949709027933752,28.32575757575758,28.32575757575758,21.0,38.0,0.2684885580027685,,,,1.380610833915975,,,,0.2694252238927762,,,,,,0.8503470083702594,,,,0.2721336299260771,,,,0.7040774600878629,0.2428440300224165,0.0312086624012841,2.5489663578159836,-14.24998738642729,2.7237935326934157,-23.613703115381295,-2.5676884006684504,-7.282038329110448,3.2462975818663184,-19.394388905940406,5.322132563562198,5.622948358189632,4.919489081777253,0.5692635517666451,127.16954307645732,357,170.79771660775094,125.44192416243054,404,323.4897510181062,251,34.18631107885344,39,12.92101152032225,0,7.196000278964782,,,,,,,,,,,,,,,,,130.0,126.59037199124732,122.0,413.0,371.89027595269386,339.0,249.0,230.01511169513805,208.0,321.0,296.8388085851949,265.0,393.0,382.1725799386773,364.0,324.0,311.7838370565047,300.0,313.0,306.1535260621989,290.0,72.0,69.84975908891812,69.0,3166.0,2778.6600963644332,2503.0
2016-07-15,ES705,28.11818,-15.55454,SA,D,183.208,2559,2016-07-15,20.26,86.81,22.11,24.06,20.65,7.84,28.11818,-15.55454,19.804752709646724,3.41,0.3510795335645066,21.108064516129033,14.09,28.85,3.7795753468199687,84.10774193548387,76.24,89.38,3.2966040294447088,21.916774193548385,20.69,22.91,0.5596910847081353,23.405806451612904,22.12,24.87,0.7102102105603546,20.84903225806452,19.59,21.93,0.5002796304436516,7.487096774193549,5.17,9.65,1.164333378565266,19.096380799213833,17.202539621926373,21.065611596291923,1.0378214143332312,2.5567741935483874,1.8900000000000008,3.640000000000001,0.4804727987116114,0.4166681325464766,0.296741971829396,0.6119207410043216,0.0802874259686061,3497.061868686869,3497.061868686869,0.271687926530353,19.22979797979798,19.22979797979798,10.0,21.0,0.1908511945444672,,,,0.9642661913200864,,,,0.2300883617298328,,,,,,0.6044778993506321,,,,0.2295385672393862,,,,0.8055786606257238,0.2447028721414254,0.0637132752758645,2.372645717504295,-15.137089833110585,2.2309188733410785,-23.970383537607724,-7.185146436933375,-8.94873866688647,2.668631946117812,-17.784717819190213,3.754694748598299,4.57642536484816,2.76330225703681,0.6858817018022659,61.78126470003114,357,170.79771660775094,125.44192416243054,404,323.4897510181062,251,34.18631107885344,39,12.92101152032225,0,7.196000278964782,,,,,,,,,,,,,,,,,130.0,126.59037199124732,122.0,413.0,371.89027595269386,339.0,249.0,230.01511169513805,208.0,321.0,296.8388085851949,265.0,393.0,382.1725799386773,364.0,324.0,311.7838370565047,300.0,313.0,306.1535260621989,290.0,72.0,69.84975908891812,69.0,3166.0,2778.6600963644332,2503.0
2018-07-15,ES705,28.11818,-15.55454,SA,D,182.358,2786,2018-07-15,27.39,79.61,20.86,22.13,20.04,8.83,28.11818,-15.55454,17.198990771378007,2.09,0.5027559816227815,23.161612903225805,16.87,29.26,3.2675235732537553,83.35967741935484,77.63,88.88,2.952583869908686,21.021935483870973,20.55,21.47,0.2930200846891173,22.34903225806452,21.73,23.01,0.3522769698341723,20.079677419354837,19.42,20.68,0.3290796929754614,7.537741935483872,3.75,9.43,1.2729714024545962,18.078972708182494,17.198990771378007,19.233936404501705,0.6130449849410989,2.2693548387096776,1.620000000000001,2.9400000000000013,0.2915468809075298,0.4145617011916095,0.2755374058126152,0.5705092117450905,0.0748073756841807,0.2363090570092625,0.2363090570092625,0.0594536521201212,20.91540404040404,20.91540404040404,20.0,21.0,0.1546944299136943,0.1546944299136943,-0.1030003235449302,0.3891024393256588,0.7369661682595113,0.7369661682595113,-0.0147880617993825,1.9611030246777912,0.1560680535303777,0.1560680535303777,0.0217903218592437,0.4325760678614933,0.0285273461029898,0.5746553412597544,0.3823228195927451,0.3823228195927451,-0.1867639044998604,1.2738713145167804,0.1832852043118479,0.1832852043118479,0.0213835550934511,0.6692596440272093,0.7375940032418479,0.2097441726308178,0.0493075145753259,1.9464841197205471,-15.584636312879567,2.2349900865628625,-24.391224915931716,-6.869237120740557,-8.94088355097491,2.4912252184334513,-18.018452258193523,2.4815536126939115,5.030451930651475,2.973892140088786,1.0549872251586991,80.12353734417688,357,170.79771660775094,125.44192416243054,404,323.4897510181062,251,34.18631107885344,39,12.92101152032225,0,7.196000278964782,,,,,,,,,,,,,,,,,130.0,126.59037199124732,122.0,413.0,371.89027595269386,339.0,249.0,230.01511169513805,208.0,321.0,296.8388085851949,265.0,393.0,382.1725799386773,364.0,324.0,311.7838370565047,300.0,313.0,306.1535260621989,290.0,72.0,69.84975908891812,69.0,3166.0,2778.6600963644332,2503.0
2019-07-15,ES705,28.11818,-15.55454,SA,D,172.156,2706,2019-07-15,14.92,87.77,22.04,23.17,21.21,8.21,28.11818,-15.55454,19.91366481423919,1.9600000000000009,0.3241419793875433,21.977096774193548,11.94,28.9,4.833207839819515,81.38935483870966,74.55,88.69,3.8343396920577466,21.648064516129025,21.06,22.3,0.3205581760379322,22.89870967741935,22.07,23.81,0.4443243652099791,20.68677419354839,20.13,21.27,0.3339633657403275,7.179032258064515,4.79,8.72,0.9444587282046782,18.30263629653445,16.851365250362285,19.964151290558437,0.930200104614514,2.2119354838709677,1.75,2.960000000000001,0.3363122527080154,0.4808299035699131,0.29757361761781,0.6679746049043075,0.0959562806321371,0.3049773672858652,0.3049773672858652,0.3635848760463155,20.57828282828283,20.57828282828283,18.0,25.0,0.1765082065934617,0.1765082065934617,-0.5298126106289103,0.5776566778414047,0.9854081148402578,0.9854081148402578,-0.8706685774768422,2.7320920946332583,0.1776648203073743,0.1776648203073743,-0.0924959278262628,0.6153846143040694,-0.2080344326912223,0.7877534811037198,0.4738644498958783,0.4738644498958783,-0.6926503376267801,2.735483894425054,0.1907025080367041,0.1907025080367041,-0.0887532354887301,0.7046404049611821,0.7217307723103784,0.1883357961918264,0.1343148727337823,1.663381922443187,-15.236512349744691,2.0487719511716382,-25.361032966482675,-7.050340146041902,-8.513087428745811,2.192896273851384,-18.11900855933044,-0.9815558389437417,4.995623807328415,2.0068617205175316,1.4047393722571972,28.780767524741407,357,170.79771660775094,125.44192416243054,404,323.4897510181062,251,34.18631107885344,39,12.92101152032225,0,7.196000278964782,,,,,,,,,,,,,,,,,130.0,126.59037199124732,122.0,413.0,371.89027595269386,339.0,249.0,230.01511169513805,208.0,321.0,296.8388085851949,265.0,393.0,382.1725799386773,364.0,324.0,311.7838370565047,300.0,313.0,306.1535260621989,290.0,72.0,69.84975908891812,69.0,3166.0,2778.6600963644332,2503.0
2010-07-15,ES709,28.47143,-16.54286,SA,D,391.33,2343,2010-07-15,22.18,82.04,21.04,22.45,20.05,5.45,28.47143,-16.54286,17.851364768403585,2.3999999999999986,0.4477647972361632,22.501935483870973,16.69,28.76,3.104890439451763,83.86322580645164,76.39,88.57,2.709728455740565,21.19,20.15,22.29,0.5005480866977458,23.00064516129032,21.4,24.42,0.6545864761318027,19.86741935483871,19.02,20.95,0.4781615851998926,5.505161290322581,3.57,7.65,1.1062399872854456,18.341618850414815,15.860630624933652,19.865686561792916,0.8381057654113868,3.133225806451613,1.9800000000000004,4.0,0.5150846287921024,0.4054211658064066,0.2927546694955545,0.5572152544084524,0.0638955991754134,3446.9427776681987,,0.0908073469676717,29.38257405509227,,,,0.0930951106316282,,,,0.5251068252573264,,,,0.1180353422849155,,,,,,0.2241966621284084,,,,0.1086285860823629,,,,,,,,,,,,,,,,,,,,0,0.0,,0,0.0,0,,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
